dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Serchhip,1.328475491,0.0,1.328475491,serchhip,Serchhip,8,1,61426,3.0,0,,,
Shahdara,0.1,0.0,0.1,shahdara,Shahdara,2,4,1645700,3.0,0,,,
Shahdol,0.76725114,0.771098824,0.003847684,shahdol,Shahdol,2,2,1075359,6.0,0,,,
Shahid Bhagat Singh Nagar,10.97305613,0.067246598,10.90580953,shahidbhagatsinghnagar,Shahid Bhagat Singh Nagar,5,0,636289,6.0,0,,,
Shahjahanpur,4.764711247,0.007833177,4.75687807,shahjahanpur,Shahjahanpur,64,3,3533793,20.0,0,,,
Shajapur,0.571010644,0.057503291,0.513507353,shajapur,Shajapur,7,0,1036523,6.0,0,,,
Shamli,1.857718186,0.0,1.857718186,shamli,Shamli,44,3,1373173,26.0,0,,,
Sheikhpura,3.509671673,0.004092988,3.505578685,sheikhpura,Sheikhpura,82,0,820089,28.0,0,,,
Sheohar,9.002316572,0.0,9.002316572,sheohar,Sheohar,136,1,851775,23.0,0,,,
Sheopur,1.417634793,0.185883526,1.231751267,sheopur,Sheopur,5,0,890783,7.0,0,,,
Shimla,0.771392749,0.035574686,0.735818063,shimla,Shimla,355,172,904737,4.0,0,,,
Shivamogga,1.276369106,1.203198506,0.0731706,shivamogga,Shivamogga,74,12,1877441,9.0,0,,,
Shivpuri,0.728096946,0.56739149,0.160705456,shivpuri,Shivpuri,13,0,2047132,6.0,0,,,
Shi Yomi,0.730870815,0.051292052,0.679578763,shiyomi,Shi Yomi,4,1,12507,5.0,0,,,
Shrawasti,7.721578816,0.028878669,7.692700147,shrawasti,Shrawasti,47,1,1390228,24.0,0,,,
Shupiyan,1.082625131,0.002022763,1.080602368,shupiyan,Shupiyan,32,1,391024,6.0,0,,,
Siang,2.518308001,0.498407734,2.019900267,siang,Siang,4,1,48365,5.0,0,,,
Siddharthnagar,13.40492833,0.022007889,13.38292044,siddharthnagar,Siddharthnagar,0,0,3367475,1.0,0,,,
Siddipet,0.469975702,0.091876715,0.378098987,siddipet,Siddipet,2,0,1102022,7.0,0,,,
Sidhi,2.184368869,0.402325215,1.782043654,sidhi,Sidhi,2,0,1292335,8.0,0,,,
Sikar,0.420855874,0.0,0.420855874,sikar,Sikar,87,2,3026385,6.0,0,,,
Simdega,1.054648305,0.125948542,0.928699763,simdega,Simdega,1,0,677321,2.0,0,,,
Sindhudurg,1.40862314,0.632545644,0.776077496,sindhudurg,Sindhudurg,190,103,808570,4.0,0,,,
Singrauli,1.521857949,0.715195816,0.806662133,singrauli,Singrauli,6,0,1558134,8.0,0,,,
Sipahijala,0.601362713,0.003254841,0.598107872,sipahijala,Sipahijala,10,1,477873,4.0,0,,,
Sirmaur,1.011405104,0.033540578,0.977864526,sirmaur,Sirmaur,84,14,564300,5.0,0,,,
Sirohi,0.276456745,0.023800256,0.252656489,sirohi,Sirohi,71,6,1264133,22.0,0,,,
Sirsa,9.796778385,0.001758909,9.795019476,sirsa,Sirsa,44,5,1511023,6.0,0,,,
Sitamarhi,4.621194206,0.001510558,4.619683648,sitamarhi,Sitamarhi,196,1,4182895,20.0,0,,,
Sitapur,3.400453125,0.025174919,3.375278206,sitapur,Sitapur,177,11,5391584,13.0,0,,,
Sivaganga,1.984480953,0.051279472,1.933201481,sivaganga,Sivaganga,16,4,1534446,10.0,0,,,
Sivasagar,17.15000888,0.611686093,16.53832279,sivasagar,Sivasagar,117,15,800874,12.0,0,,,
Siwan,6.753345435,0.145588085,6.60775735,siwan,Siwan,133,0,3880318,23.0,0,,,
Solan,0.404819031,0.124151886,0.280667145,solan,Solan,116,15,678073,5.0,0,,,
Solapur,1.684216461,0.761165008,0.923051453,solapur,Solapur,161,11,4817374,3.0,0,,,
Sonbhadra,2.644815378,2.70977361,0.064958232,sonbhadra,Sonbhadra,50,0,2259539,24.0,0,,,
Sonipat,0.905127272,0.0,0.905127272,sonipat,Sonipat,22,5,1771137,6.0,0,,,
Sonitpur,7.745899654,2.549489328,5.196410326,sonitpur,Sonitpur,144,8,1462078,9.0,0,,,
South,0.006747594,0.0,0.006747594,south,South,2,4,1636592,3.0,0,,,
South Andaman,1.443452407,0.0,1.443452407,southandaman,South Andaman,1,0,257900,2.0,0,,,
South District,1.694907072,0.18276756,1.512139512,southdistrict,South District,19,4,164403,4.0,0,,,
South East,0.675204493,0.045915107,0.629289386,southeast,South East,2,4,1758195,3.0,0,,,
South Garo Hills,1.298508569,0.025829871,1.272678698,southgarohills,South Garo Hills,20,0,190314,3.0,0,,,
South Goa,2.764330826,0.971762276,1.79256855,southgoa,South Goa,2,4,857449,16.0,0,,,
South Salmara Mancachar,28.02392571,10.81288284,17.21104287,southsalmaramancachar,South Salmara Mancachar,39,1,533060,16.0,0,,,
South Tripura,0.931395601,0.0,0.931395601,southtripura,South Tripura,12,2,415745,4.0,0,,,
South Twenty Four Pargan*,17.30461094,7.77866316,9.52594778,southtwentyfourpargan,South Twenty Four Pargan*,30,0,12843801,17.0,0,,,
South West,3.339650881,0.0,3.339650881,southwest,South West,13,4,1719303,3.0,0,,,
South West Garo Hills,3.341603843,0.001275329,3.340328514,southwestgarohills,South West Garo Hills,13,0,161524,5.0,0,,,
